peg:[index, x, y] =[5.0, 1.560179031848092, -0.2745935270757942]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0940351048757146, -0.8477191609942709]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.0940351048757146, -0.8477191609942709]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.6054772766043066, -0.23220756902608036]
peg:[index, x, y] =[2.0, -0.9861806398710126, -2.6510433590091464]
peg:[index, x, y] =[3.0, 0.0, -3.5]
peg:[index, x, y] =[4.0, 0.9861806398710126, -2.6510433590091464]
peg:[index, x, y] =[5.0, 1.6054772766043066, -0.23220756902608036]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0940351048757146, -0.8477191609942709]
socket:[index, x, y] =[3.0, -1.0853078340858968, -2.851674739422882]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 1.0853078340858968, -2.851674739422882]
socket:[index, x, y] =[6.0, 1.0940351048757146, -0.8477191609942709]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5691856408035811, -0.19160807124975449]
peg:[index, x, y] =[2.0, -0.8749169628709941, -1.8458428091779782]
peg:[index, x, y] =[3.0, 0.0, -3.4]
peg:[index, x, y] =[4.0, 0.8749169628709941, -1.8458428091779782]
peg:[index, x, y] =[5.0, 1.5691856408035811, -0.19160807124975449]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0936081478515214, -0.6639185214847989]
socket:[index, x, y] =[3.0, -0.8, -3.6]
socket:[index, x, y] =[4.0, 0.8, -3.6]
socket:[index, x, y] =[5.0, 1.0936081478515214, -0.6639185214847989]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.7854523558024873, -0.03319592607423999]
peg:[index, x, y] =[2.0, -0.9944984887933098, -3.3509657302749716]
peg:[index, x, y] =[3.0, 0.0, -3.4]
peg:[index, x, y] =[4.0, 0.9944984887933098, -3.3509657302749716]
peg:[index, x, y] =[5.0, 1.7854523558024873, -0.03319592607423999]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0936081478515214, -0.6639185214847989]
socket:[index, x, y] =[3.0, -1.0945810111707768, -3.6000000000000036]
socket:[index, x, y] =[4.0, 1.0945810111707763, -3.5999999999999996]
socket:[index, x, y] =[5.0, 1.0936081478515214, -0.6639185214847989]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5648916836964948, -0.2124240198432718]
peg:[index, x, y] =[2.0, -0.8721637219439116, -1.8733752184488015]
peg:[index, x, y] =[3.0, 0.0, -3.45]
peg:[index, x, y] =[4.0, 0.8721637219439116, -1.8733752184488015]
peg:[index, x, y] =[5.0, 1.5648916836964948, -0.2124240198432718]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0889735256242659, -0.7102647437573513]
socket:[index, x, y] =[3.0, -0.8, -3.6]
socket:[index, x, y] =[4.0, 0.8, -3.6]
socket:[index, x, y] =[5.0, 1.0889735256242659, -0.7102647437573513]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.7918076442846576, -0.03551323718786764]
peg:[index, x, y] =[2.0, -0.9898492691300498, -3.3532571910685327]
peg:[index, x, y] =[3.0, 0.0, -3.45]
peg:[index, x, y] =[4.0, 0.9898492691300498, -3.3532571910685327]
peg:[index, x, y] =[5.0, 1.7918076442846576, -0.03551323718786764]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0889735256242659, -0.7102647437573513]
socket:[index, x, y] =[3.0, -1.0899310322376632, -3.599999999999999]
socket:[index, x, y] =[4.0, 1.0899310322376639, -3.6000000000000014]
socket:[index, x, y] =[5.0, 1.0889735256242659, -0.7102647437573513]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.557603208435997, -0.2498329730995571]
peg:[index, x, y] =[2.0, -0.8672043344896874, -1.9229690929910437]
peg:[index, x, y] =[3.0, 0.0, -3.55]
peg:[index, x, y] =[4.0, 0.8672043344896874, -1.9229690929910437]
peg:[index, x, y] =[5.0, 1.557603208435997, -0.2498329730995571]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.080625223409655, -0.7937477659034602]
socket:[index, x, y] =[3.0, -0.8, -3.6]
socket:[index, x, y] =[4.0, 0.8, -3.6]
socket:[index, x, y] =[5.0, 1.080625223409655, -0.7937477659034602]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.8010086810310233, -0.03968738829517304]
peg:[index, x, y] =[2.0, -0.9813653368346398, -3.027411420273981]
peg:[index, x, y] =[3.0, 0.0, -3.55]
peg:[index, x, y] =[4.0, 0.9813653368346398, -3.027411420273981]
peg:[index, x, y] =[5.0, 1.8010086810310233, -0.03968738829517304]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.080625223409655, -0.7937477659034602]
socket:[index, x, y] =[3.0, -1.081555068130623, -3.5999999999999974]
socket:[index, x, y] =[4.0, 1.081555068130623, -3.5999999999999988]
socket:[index, x, y] =[5.0, 1.080625223409655, -0.7937477659034602]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.556121583430023, -0.257770016393973]
peg:[index, x, y] =[2.0, -0.8661498389388149, -1.93351404849977]
peg:[index, x, y] =[3.0, 0.0, -3.59]
peg:[index, x, y] =[4.0, 0.8661498389388149, -1.93351404849977]
peg:[index, x, y] =[5.0, 1.556121583430023, -0.257770016393973]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[3.0, -0.8, -3.6]
socket:[index, x, y] =[4.0, 0.8, -3.6]
socket:[index, x, y] =[5.0, 1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.6850825616041591, -0.14416023465259992]
peg:[index, x, y] =[2.0, -0.7595336993776892, -3.246307484334676]
peg:[index, x, y] =[3.0, 0.0, -3.59]
peg:[index, x, y] =[4.0, 0.7595336993776892, -3.246307484334676]
peg:[index, x, y] =[5.0, 1.6850825616041591, -0.14416023465259992]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[3.0, -0.8281366669739786, -3.6]
socket:[index, x, y] =[4.0, 0.8281366669739786, -3.599999999999999]
socket:[index, x, y] =[5.0, 1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.556121583430023, -0.257770016393973]
peg:[index, x, y] =[2.0, -0.8661498389388149, -1.93351404849977]
peg:[index, x, y] =[3.0, 0.0, -3.59]
peg:[index, x, y] =[4.0, 0.8661498389388149, -1.93351404849977]
peg:[index, x, y] =[5.0, 1.556121583430023, -0.257770016393973]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[3.0, -0.8, -3.6]
socket:[index, x, y] =[4.0, 0.8, -3.6]
socket:[index, x, y] =[5.0, 1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.802664542951958, -0.04057492205049082]
peg:[index, x, y] =[2.0, -0.8777510808529876, -3.3567663747729544]
peg:[index, x, y] =[3.0, 0.0, -3.59]
peg:[index, x, y] =[4.0, 0.8777510808529876, -3.3567663747729544]
peg:[index, x, y] =[5.0, 1.802664542951958, -0.04057492205049082]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[3.0, -0.9681759981350575, -3.600000000000003]
socket:[index, x, y] =[4.0, 0.9681759981350564, -3.5999999999999988]
socket:[index, x, y] =[5.0, 1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[6.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.556121583430023, -0.257770016393973]
peg:[index, x, y] =[2.0, -0.8661498389388145, -1.9335140484997735]
peg:[index, x, y] =[3.0, 0.0, -3.58]
peg:[index, x, y] =[4.0, 0.8661498389388145, -1.9335140484997735]
peg:[index, x, y] =[5.0, 1.556121583430023, -0.257770016393973]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.0788501558990196, -0.811498441009816]
socket:[index, x, y] =[3.0, -0.8, -3.6]
